Frame,Sprite,Mover,FPS,Transform,Camera,Player,
0,0.0005776,3.12e-005,inf,1e-007,2.9e-006,5e-006,
1,0.0589548,3.28e-005,21.7391,4e-007,2.7e-006,4.2e-006,
2,0.0003173,6.21e-005,16.3934,0,4e-006,5.4e-006,
3,0.0023525,9.03e-005,200,1e-007,2.7e-006,4e-006,
4,0.0124422,0.000121,166.667,1e-007,4.2e-006,5.2e-006,
5,0.0116227,0.0001548,58.8235,1e-007,4.8e-006,4.7e-006,
6,0.0123941,0.0001826,58.8235,0,3.8e-006,5e-006,
7,0.0119208,0.0002139,58.8235,1e-007,4.4e-006,4.6e-006,
8,0.0116032,0.0002433,58.8235,0,5.1e-006,4.7e-006,
9,0.0109232,0.0002782,58.8235,1e-007,4.2e-006,5.1e-006,
10,0.0126572,0.0003037,62.5,5e-007,4.5e-006,5.4e-006,
11,0.0115748,0.000336,58.8235,1e-007,4e-006,4.7e-006,
12,0.0121805,0.0003779,58.8235,1e-007,3.5e-006,4.7e-006,
13,0.0115978,0.0003975,58.8235,1e-007,3.6e-006,5.2e-006,
14,0.0102605,0.0004419,58.8235,1e-007,3.2e-006,4.6e-006,
15,0.0116183,0.0004759,62.5,1e-007,3.8e-006,4.6e-006,
16,0.0117027,0.0004848,58.8235,1e-007,3.6e-006,4.4e-006,
17,0.0118275,0.0005158,58.8235,1e-007,3.7e-006,4.5e-006,
18,0.011937,0.0005464,58.8235,1e-007,3.3e-006,4.3e-006,
19,0.0118189,0.000578,58.8235,1e-007,4.1e-006,5e-006,
20,0.0115638,0.0006054,62.5,0,3.8e-006,4.8e-006,
21,0.0116359,0.0006838,58.8235,1e-007,4.5e-006,5.5e-006,
22,0.0118114,0.0006658,58.8235,1e-007,4.2e-006,4.7e-006,
23,0.0118391,0.0006967,62.5,1e-007,3.5e-006,5.4e-006,
24,0.0118918,0.0007252,58.8235,1e-007,3.4e-006,4.3e-006,
25,0.0112578,0.000757,58.8235,1e-007,3.4e-006,4.6e-006,
26,0.0117245,0.0007997,58.8235,1e-007,3.9e-006,5e-006,
27,0.0117063,0.0008162,58.8235,1e-007,2.8e-006,4.3e-006,
28,0.0237016,0.0008659,62.5,0,2.7e-006,4.3e-006,
29,0.0035808,0.0009591,33.3333,1e-007,5.1e-006,5.5e-006,
30,0.0040934,0.0012102,83.3333,1e-007,2.2e-006,4.1e-006,
31,0.0116301,0.0009447,100,0,3.3e-006,4.4e-006,
32,0.0106403,0.0010728,62.5,0,2.4e-006,4.6e-006,
33,0.011518,0.0010046,62.5,1e-007,3.1e-006,4.2e-006,
34,0.0116648,0.0010326,58.8235,1e-007,2.8e-006,4.3e-006,
35,0.011346,0.0011084,58.8235,1e-007,2.7e-006,5.7e-006,
36,0.0117275,0.0010957,62.5,1e-007,2.6e-006,4.4e-006,
37,0.0116395,0.00114,58.8235,1e-007,2.8e-006,4.3e-006,
38,0.0104181,0.0012568,58.8235,2e-007,5.2e-006,5.7e-006,
39,0.0108392,0.0012564,58.8235,1e-007,3.9e-006,5.2e-006,
40,0.0110621,0.0014844,58.8235,1e-007,4.7e-006,5.3e-006,
41,0.0109608,0.0012874,58.8235,1e-007,4.7e-006,5.4e-006,
42,0.0110193,0.0013436,62.5,0,3.6e-006,4.6e-006,
43,0.0111521,0.0013208,58.8235,1e-007,3.6e-006,4.7e-006,
44,0.0112741,0.0015853,58.8235,2e-007,3.8e-006,4.5e-006,
45,0.0109763,0.0014133,58.8235,1e-007,2.4e-006,4.2e-006,
46,0.0111692,0.0014524,58.8235,1e-007,5.1e-006,5.6e-006,
47,0.0109157,0.0015007,62.5,2e-007,4.2e-006,5.1e-006,
48,0.0111665,0.0014961,58.8235,1e-007,2.4e-006,4.1e-006,
49,0.0106877,0.0014869,58.8235,1e-007,2.9e-006,4.3e-006,
50,0.011008,0.0015229,58.8235,1e-007,3.3e-006,4.5e-006,
51,0.0103375,0.0016162,62.5,1e-007,2.9e-006,4.1e-006,
52,0.0107823,0.0016402,58.8235,2e-007,3.2e-006,4.7e-006,
53,0.0108136,0.0016712,58.8235,1e-007,2.9e-006,4.4e-006,
54,0.0310852,0.0016432,58.8235,1e-007,3.2e-006,4.6e-006,
55,0.0092555,0.0026802,27.027,1e-007,5.6e-006,7.9e-006,
56,0.0069395,0.0017055,47.619,1e-007,4.2e-006,4.6e-006,
57,0.0068883,0.0019246,71.4286,1e-007,2.8e-006,4.1e-006,
58,0.0070496,0.0018139,76.9231,0,2.4e-006,4.1e-006,
59,0.00731,0.0018441,76.9231,2e-007,2.8e-006,4.3e-006,
60,0.0072724,0.0018359,76.9231,1e-007,2.4e-006,4.2e-006,
61,0.0074066,0.001862,76.9231,2e-007,3.6e-006,5e-006,
62,0.007645,0.0022523,71.4286,6e-007,4.1e-006,4.6e-006,
63,0.0095026,0.0019226,71.4286,1e-007,2.5e-006,4.7e-006,
64,0.0109905,0.001968,66.6667,2e-007,3.2e-006,4.4e-006,
65,0.0105684,0.0019807,55.5556,0,2.6e-006,4.3e-006,
66,0.0104303,0.0020288,62.5,1e-007,3.1e-006,4.8e-006,
